time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-03T16:17:54.753Z,12.2318,-88.8598,10,4.5,mb,,160,1.336,1.19,us,us7000ghm9,2022-02-03T20:56:51.040Z,"off the coast of Central America",earthquake,5.7,1.9,0.075,58,reviewed,us,us
2022-02-03T15:58:57.277Z,-4.4879,-76.9364,110,6.5,mww,,22,3.167,0.75,us,us7000ghm5,2022-02-08T13:36:00.838Z,"47 km NW of Barranca, Peru",earthquake,7,1.8,0.059,28,reviewed,us,us
2022-02-03T15:40:49.169Z,-9.1491,125.6915,10,5.2,mb,,32,1.528,0.9,us,us7000ghm1,2022-02-04T17:21:52.040Z,"16 km SSE of Same, Timor Leste",earthquake,6.6,1.8,0.056,115,reviewed,us,us
2022-02-03T13:26:13.423Z,-34.6224,-73.6482,10,4.5,mb,,101,1.465,1.05,us,us7000ghlh,2022-02-03T15:44:08.040Z,"137 km NW of Constitución, Chile",earthquake,4.5,1.9,0.128,20,reviewed,us,us
2022-02-03T12:45:56.454Z,-23.4261,-175.027,10,4.9,mb,,119,6.364,0.95,us,us7000ghtm,2022-02-04T09:43:40.040Z,"231 km S of ‘Ohonua, Tonga",earthquake,10.9,1.6,0.117,23,reviewed,us,us
2022-02-03T11:37:44.297Z,-7.4538,119.6935,10,4.9,mww,,44,2.337,0.85,us,us7000ghl6,2022-02-04T19:14:41.040Z,"117 km N of Labuan Bajo, Indonesia",earthquake,6.2,1.9,0.083,14,reviewed,us,us
2022-02-03T10:22:47.768Z,-29.7677,-176.9331,10,4.9,mb,,80,0.997,1.09,us,us7000ghkz,2022-02-03T10:56:41.040Z,"Kermadec Islands region",earthquake,9,1.8,0.162,15,reviewed,us,us
2022-02-03T09:35:52.942Z,-23.2021,-65.0147,39.36,4.9,mb,,60,2.924,0.88,us,us7000ghks,2022-02-03T18:07:06.725Z,"34 km E of Humahuaca, Argentina",earthquake,7.7,5.6,0.04,224,reviewed,us,us
2022-02-03T06:24:57.586Z,55.8282,-149.1911,10,4.9,mwr,,144,2.665,1.19,us,us7000ghjy,2022-02-03T06:56:20.307Z,"274 km SE of Chiniak, Alaska",earthquake,2.5,1.9,0.06,27,reviewed,us,us
2022-02-03T04:47:14.373Z,19.9311,121.5516,56.95,5,mb,,111,2.905,1.35,us,us7000ghjj,2022-02-03T05:05:16.040Z,"72 km SW of Basco, Philippines",earthquake,8.3,6.9,0.05,132,reviewed,us,us
2022-02-03T04:29:02.094Z,52.1499,177.4949,19.5,4.6,mb,,83,0.692,0.79,us,us7000ghjh,2022-02-03T07:34:52.294Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8,5.3,0.058,92,reviewed,us,us
2022-02-03T04:05:56.188Z,47.074,-27.2314,10,4.8,mb,,37,9.389,0.74,us,us7000ghjc,2022-02-03T04:25:43.040Z,"northern Mid-Atlantic Ridge",earthquake,9.8,1.9,0.041,184,reviewed,us,us
2022-02-02T23:58:17.451Z,-29.6655,-176.9837,10,5.2,mww,,66,0.91,0.91,us,us7000ghgx,2022-02-03T00:17:39.040Z,"Kermadec Islands region",earthquake,3.9,1.8,0.093,11,reviewed,us,us
2022-02-02T23:54:52.870Z,53.3371,-166.8166,47.93,4.7,mb,,161,0.459,0.95,us,us7000ghgu,2022-02-03T07:02:27.338Z,"62 km SSW of Unalaska, Alaska",earthquake,5.4,5.7,0.04,187,reviewed,us,us
2022-02-02T22:13:43.889Z,13.9918,-92.3548,35,4.9,mb,,142,2.286,1,us,us7000ghg0,2022-02-02T22:32:59.040Z,"58 km SW of Champerico, Guatemala",earthquake,6.5,1.9,0.033,295,reviewed,us,us
2022-02-02T21:03:48.585Z,35.0324,31.8405,29.72,5.3,mww,,24,1.225,1.14,us,us7000ghf9,2022-02-04T06:18:22.511Z,"52 km WNW of Pégeia, Cyprus",earthquake,5.3,4.5,0.055,32,reviewed,us,us
